code,name,price,category,brand,cpu1,cpu2,cpu3,ram,oCung,cardManHinh1,cardManHinh2,manHinh1,manHinh2,congKetNoi1,congKetNoi2,thietKe,kichThuoc,thoiGianRaMat,rating,full_name
220042001752, Laptop,23990000, Laptop , Acer ,Ryzen 5,5600H,3.3GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,GTX 1650 4GB,"15.6""",Full HD (1920 x 1080),3 x USB 3.2,HDMI,Vỏ nhựa,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,3," Laptop  Acer  Ryzen 5 5600H 3.3GHz 8 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Card rời GTX 1650 4GB 15.6"" Full HD (1920 x 1080)"
220042001666, Laptop,27990000, Laptop , Lenovo ,i7,1165G7,2.8GHz,8 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"14""",Full HD (1920 x 1080),1 x USB 3.2,1 x USB 3.2 (Always on),Vỏ kim loại,Dài 320.6 mm - Rộng 208.18 mm - Dày 14.9 mm - Nặng 1.36 kg,Dài 320.6 mm - Rộng 208.18 mm - Dày 14.9 mm - Nặng 1.36 kg,3.8," Laptop  Lenovo  i7 1165G7 2.8GHz 8 GB 512 GB SSD NVMe PCIe Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)"
220042001608, Laptop,22990000, Laptop , MSI ,i7,10750H,2.6GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,GTX 1650 Max-Q 4GB,"15.6""",Full HD (1920 x 1080),3 x USB 3.2,HDMI,Vỏ nhựa - nắp lưng bằng kim loại,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,3.8," Laptop  MSI  i7 10750H 2.6GHz 8 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card rời GTX 1650 Max-Q 4GB 15.6"" Full HD (1920 x 1080)"
220042001181, Laptop,11990000, Laptop , Acer ,i3,1005G1,1.2GHz,4 GB,256 GB SSD NVMe PCIe,Card tích hợp,Intel UHD,"15.6""",Full HD (1920 x 1080),2 x USB 2.0,HDMI,Dài 363.4 mm - Rộng 247.5 mm - Dày 19.9 mm - Nặng 1.7 kg,2020,2020,3.8," Laptop  Acer  i3 1005G1 1.2GHz 4 GB 256 GB SSD NVMe PCIe Card tích hợp Intel UHD 15.6"" Full HD (1920 x 1080)"
220042001754, Laptop,9990000, Laptop , Acer ,Celeron,N4020,1.1GHz,4 GB,128 GB SSD M2 PCIe,Card tích hợp,Intel UHD 600,"11.6""",HD (1366 x 768),2 x USB 3.2,HDMI,Dài 295 mm - Rộng 215 mm - Dày 20.99 mm - Nặng 1.4 kg,2021,2021,0," Laptop  Acer  Celeron N4020 1.1GHz 4 GB 128 GB SSD M2 PCIe Card tích hợp Intel UHD 600 11.6"" HD (1366 x 768)"
220042001724, Laptop,16990000, Laptop , MSI ,Ryzen 5,5500U,2.1GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card tích hợp,Radeon Vega 7,"14""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Nắp lưng và chiếu nghỉ tay bằng kim loại,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm - Nặng 1.3 kg,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm - Nặng 1.3 kg,5," Laptop  MSI  Ryzen 5 5500U 2.1GHz 8 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card tích hợp Radeon Vega 7 14"" Full HD (1920 x 1080)"
220042001736, Laptop,15290000, Laptop , Dell ,i3,1115G4,3GHz,4 GB,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))",Card tích hợp,Intel UHD,"15.6""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm - Nặng 1.7 kg,2021,2021,3," Laptop  Dell  i3 1115G4 3GHz 4 GB 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230)) Card tích hợp Intel UHD 15.6"" Full HD (1920 x 1080)"
220042001761, Laptop,12690000, Laptop , HP ,i3,10110U,2.1GHz,4 GB,256 GB SSD NVMe PCIe,Card tích hợp,Intel UHD,"15.6""",Full HD (1920 x 1080),2x SuperSpeed USB A,HDMI,Dài 358.5 mm - Rộng 242 mm - Dày 18 mm - Nặng 1.74 kg,2021,2021,4," Laptop  HP  i3 10110U 2.1GHz 4 GB 256 GB SSD NVMe PCIe Card tích hợp Intel UHD 15.6"" Full HD (1920 x 1080)"
220042001779, Laptop,19090000, Laptop , Asus ,i5,1135G7,2.4GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card tích hợp,Intel Iris Xe,"14""",Full HD (1920 x 1080),1 x USB 3.2,2 x USB 2.0,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - Nặng 1.4 kg,2021,2021,5," Laptop  Asus  i5 1135G7 2.4GHz 8 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)"
220042001705, Laptop,19990000, Laptop , Asus ,i5,1135G7,2.4GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card tích hợp,Intel Iris Xe,"15.6""",Full HD (1920 x 1080) OLED,1 x USB 3.2,2 x USB 2.0,Dài 359 mm - Rộng 235 mm - Dày 17.9 mm - Nặng 1.8 kg,2021,2021,4.8," Laptop  Asus  i5 1135G7 2.4GHz 8 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Card tích hợp Intel Iris Xe 15.6"" Full HD (1920 x 1080) OLED"
220042001759, Laptop,21390000, Laptop , Lenovo ,i5,1135G7,2.4GHz,8 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"15.6""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Dài 357 mm - Rộng 235 mm - Dày 18.9 mm - Nặng 1.7 kg,2021,2021,0," Laptop  Lenovo  i5 1135G7 2.4GHz 8 GB 512 GB SSD NVMe PCIe Card tích hợp Intel Iris Xe 15.6"" Full HD (1920 x 1080)"
220042001424, Laptop,39990000, Laptop , MacBook ,Apple M1,,,16 GB,256 GB SSD,Card tích hợp,8 nhân GPU,"13.3""",Retina (2560 x 1600),2 x Thunderbolt 3 (USB-C),Jack tai nghe 3.5 mm,Vỏ kim loại nguyên khối,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,5," Laptop  MacBook  Apple M1   16 GB 256 GB SSD Card tích hợp 8 nhân GPU 13.3"" Retina (2560 x 1600)"
