_id,brand,category,code,cpu1,cpu2,cpu3,design,disk,full_name,img,name,price,ram,rating,release,screen1,screen2,size,vga1,vga2
622a1d6534eebec0045fe31e, Acer , Laptop ,220042001753,Pentium,N5030,1.1GHz,Dài 295 mm - Rộng 215 mm - Dày 20.99 mm - Nặng 1.4 kg,256 GB SSD NVMe PCIe,"Laptop  Acer  Pentium N5030 1.1GHz 4 GB Card tích hợp Intel UHD 605 11.6"" HD (1366 x 768)",https://cdn.tgdd.vn/Products/Images/44/263977/Slider/vi-vn-acer-travelmate-b3-tmb311-31-p49d-n5030-nxvnfsv005-2.jpg,Laptop,10990000,4 GB,5.0,2021,"11.6""",HD (1366 x 768),2021,Card tích hợp,Intel UHD 605
622a1d6534eebec0045fe334, MacBook , Laptop ,220042001641,Apple M1 Pro,200GB/s memory bandwidth,,Vỏ kim loại nguyên khối,512 GB SSD,Laptop  MacBook  Apple M1 Pro 200GB/s memory bandwidth  16 GB Card tích hợp 14 core-GPU 14.2 inch Liquid Retina XDR display (3024 x 1964),https://cdn.tgdd.vn/Products/Images/44/253581/Slider/vi-vn-apple-pro-14-m1-pro-2021-8-core-cpu-16gb-3.jpg,Laptop,52990000,16 GB,5.0,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - Nặng 1.6 kg,14.2 inch,Liquid Retina XDR display (3024 x 1964),Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - Nặng 1.6 kg,Card tích hợp,14 core-GPU
622a1d6534eebec0045fe31f, Dell , Laptop ,220042001736,i3,1115G4,3GHz,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm - Nặng 1.7 kg,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))","Laptop  Dell  i3 1115G4 3GHz 4 GB Card tích hợp Intel UHD 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/264370/Slider/vi-vn-dell-inspiron-15-3511-i3-p112f001cbl-3.jpg,Laptop,15290000,4 GB,3.5,2021,"15.6""",Full HD (1920 x 1080),2021,Card tích hợp,Intel UHD
622a1d6534eebec0045fe32c, Lenovo , Laptop ,220042001905,i7,11800H,2.30 GHz,Vỏ nhựa,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB (2280) / 512GB (2242))","Laptop  Lenovo  i7 11800H 2.30 GHz 16 GB Card rời RTX 3050Ti 4GB 15.6"" Full HD (1920 x 1080)",//cdn.tgdd.vn/Products/Images/44/272005/lenovo-gaming-legion-5-15ith6-i7-82jk00fnvn3.jpg,Laptop,39990000,16 GB,0.0,Dài 362.56 mm - Rộng 260.61 mm - Dày 25.75 mm - Nặng 2.4 kg,"15.6""",Full HD (1920 x 1080),Dài 362.56 mm - Rộng 260.61 mm - Dày 25.75 mm - Nặng 2.4 kg,Card rời,RTX 3050Ti 4GB
622a1d6534eebec0045fe339, HP , Laptop ,220042001441,i7,1165G7,2.8GHz,Vỏ kim loại nguyên khối,512 GB SSD NVMe PCIe,"Laptop  HP  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/242415/Slider/vi-vn-hp-elitebook-x360-1040-g8-i7-3g1h4pa-2.jpg,Laptop,49590000,16 GB,0.0,Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,"14""",Full HD (1920 x 1080),Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe359, HP , Laptop ,220042001872,i7,1165G7,2.8GHz,Vỏ kim loại,1 TB SSD,"Laptop  HP  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 13.3"" Full HD (1920 x 1080)",//cdn.tgdd.vn/Products/Images/44/270399/hp-envy-13-ba1534tu-i7-4u6m3pa-3.jpg,Laptop,32590000,16 GB,0.0,Dài 306.5 mm - Rộng 194.6 mm - Dày 16.4 mm - Nặng 1.237 kg,"13.3""",Full HD (1920 x 1080),Dài 306.5 mm - Rộng 194.6 mm - Dày 16.4 mm - Nặng 1.237 kg,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe370, Acer , Laptop ,220042001481,i7,11800H,2.30 GHz,Vỏ nhựa,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)","Laptop  Acer  i7 11800H 2.30 GHz 8 GB Card rời RTX 3050Ti 4GB 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/247243/Slider/acer-nitro-gaming-an515-57-727j-i7-nhqd9sv005-250721-0326472.jpg,Laptop,29990000,8 GB,3.1,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,"15.6""",Full HD (1920 x 1080),Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Card rời,RTX 3050Ti 4GB
622a1d6534eebec0045fe387, HP , Laptop ,220042001760,i5,11400H,2.7GHz,Vỏ nhựa,512 GB SSD NVMe PCIe,"Laptop  HP  i5 11400H 2.7GHz 8 GB Card rời RTX 3050 4GB 16.1"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/265442/Slider/vi-vn-hp-gaming-victus-16-d0204tx-i5-4r0u5pa-4.jpg,Laptop,26990000,8 GB,0.0,Dài 370 mm - Rộng 260 mm - Dày 23.5 mm - Nặng 2.46 kg,"16.1""",Full HD (1920 x 1080),Dài 370 mm - Rộng 260 mm - Dày 23.5 mm - Nặng 2.46 kg,Card rời,RTX 3050 4GB
622a1d6534eebec0045fe397, Dell , Laptop ,220042001737,i5,11320H,3.2GHz,Vỏ nhựa - nắp lưng bằng kim loại,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))","Laptop  Dell  i5 11320H 3.2GHz 8 GB Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/264371/Slider/vi-vn-dell-inspiron-14-5410-i5-p143g001bsl-4.jpg,Laptop,24490000,8 GB,0.0,Dài 321.3 mm - Rộng 212 mm - Dày 17.9 mm - Nặng 1.44 kg,"14""",Full HD (1920 x 1080),Dài 321.3 mm - Rộng 212 mm - Dày 17.9 mm - Nặng 1.44 kg,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe39c, HP , Laptop ,220042001834,i5,1135G7,2.4GHz,Vỏ kim loại,256 GB SSD NVMe PCIe,"Laptop  HP  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 13.3"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/269454/Slider/vi-vn-hp-envy-x360-13-bd0531tu-i5-4y1d1pa-3.jpg,Laptop,24990000,8 GB,0.0,Dài 306.5 mm - Rộng 194.6 mm - Dày 16.4 mm - Nặng 1.33 kg,"13.3""",Full HD (1920 x 1080),Dài 306.5 mm - Rộng 194.6 mm - Dày 16.4 mm - Nặng 1.33 kg,Card tích hợp,Intel Iris Xe
